Sr,District,Taluka,Taluka Normal RainFall,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Total RainFall,%RainFall,Rainy Days
123,,Pandharpur,12.7,-,-,-,-,0.0,0.0,0.0, - ,0.0,0.0, - ,7.3,1.0, - ,0.0,0.0,0.0, - ,0.0, - , - , - ,0.0, - , - , - ,0.0, - , - , - ,8.3,61.9,1
124,,Sangola,13.4,-,-,-,-,0.0,0.0,0.0, - ,0.0,0.0, - ,0.8,0.0, - ,0.0,0.0,0.0, - ,0.0, - , - , - ,0.0, - , - , - ,0.0, - , - , - ,0.8,7.1,0
125,,Malshiras,11.3,-,-,-,-,0.0,0.0,0.0, - ,0.0,0.0, - ,3.4,0.0, - ,0.0,0.0,0.0, - ,0.0, - , - , - ,0.0, - , - , - ,0.0, - , - , - ,3.4,41.5,1
126,,Mangalwedha,8.2,-,-,-,-,0.0,0.0,0.0, - ,0.0,0.0,7.0,0.0,3.7, - ,0.0,0.0,0.0, - ,0.0, - , - , - ,0.0, - , - , - ,0.0, - , - , - ,10.7,51.2,2
127,Satara,Satara,20.9,-,-,-,-,-,-,-,-,-,1.1,7.0,1.9, - ,0.0,0.0,0.0,0.0, - , - ,0.0,0.0,0.5,0.0, - , - , - , - , - , - , - ,10.5,40.2,1
128,,Javli medha,26.1,-,-,-,-,-,-,-,-,-,0.0,0.7,0.0, - ,0.0,0.5,0.5,1.0, - , - ,0.0,0.0,5.9,0.0, - , - , - , - , - , - , - ,8.6,45.7,1
129,,Patan,18.8,-,-,-,-,-,-,-,-,-,5.0,7.8,4.1, - ,0.0,0.0,0.0,1.8, - , - ,0.0,0.0,0.0,0.0, - , - , - , - , - , - , - ,18.7,106.3,3
130,,Karad,17.6,-,-,-,-,-,-,-,-,-,0.0,0.0,17.6, - ,0.0,0.0,0.0,7.7, - , - ,0.0,0.0,0.0,0.0, - , - , - , - , - , - , - ,25.3,139,2
131,,Koregaon,18.2,-,-,-,-,-,-,-,-,-,3.2,4.6,4.3, - ,0.0,0.0,0.0,0.2, - , - ,0.1,0.0,0.0,0.0, - , - , - , - , - , - , - ,12.4,93.9,3
132,,Khatav vaduj,13.2,-,-,-,-,-,-,-,-,-,0.0,15.0,1.7, - ,0.0,0.0,0.3,0.0, - , - ,0.0,0.0,0.0,2.2, - , - , - , - , - , - , - ,19.2,118.5,1
