Sr,District,Taluka,Taluka Normal RainFall,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Total RainFall,%RainFall,Rainy Days
79,,Chopda,218.8,8.0,15.0,8.0,4.0,31.0,78.0,206.0,56.0,12.0,23.0,9.0,5.0,16.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,491,292.3,15
80,,Erandol,168.0,0.0,0.1,25.0,9.0,14.0,98.0,130.0,40.0,4.0,2.0,8.0,26.0,7.0,11.0,1.0,25.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408.1,253.8,13
81,,Parola,160.8,0.0,0.0,11.3,21.0,19.0,46.0,149.6,21.1,2.0,15.3,3.8,13.0,5.4,23.4,5.0,31.0,1.0,38.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,19.0,0.0,0.0,0.0,0.0,0.0,432.9,238.1,16
82,,Chalisgaon,181.8,0.0,0.0,1.0,13.0,19.0,63.0,153.0,7.0,3.0,4.0,2.0,0.0,4.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,281,124,10
83,,Jamner,226.7,0.0,0.0,5.0,16.0,20.0,230.0,143.0,35.0,0.0,16.0,29.0,2.0,0.0,14.0,0.0,18.0,26.0,0.0,7.0,0.0,0.0,8.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,572,239.9,13
84,,Pachora,238.4,0.0,0.0,8.0,15.0,13.0,85.0,186.0,15.0,0.0,12.0,3.0,0.0,0.0,16.0,0.0,3.0,13.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,377,184.4,12
85,,Bhadgaon,204.5,0.0,0.0,8.4,19.0,27.0,47.0,175.0,12.0,0.1,21.9,0.0,0.0,0.0,6.0,4.0,2.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,368.4,219.3,12
86,,Dharangaon,168.0,0.0,8.0,3.0,10.0,19.0,46.0,172.2,24.0,2.0,15.0,2.0,8.0,7.0,26.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,354.2,218.2,13
87,,Bodhwada,162.3,0.0,0.0,8.2,0.0,11.5,175.1,260.0,24.2,11.2,9.4,7.0,18.2,0.0,6.2,0.0,9.0,8.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,549.5,599.2,12
88,Ahamadnagar,Nagar,91.7,36.0,0.0,0.0,0.0,4.0,21.0,33.0,34.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, - ,0.0,0.0,0.0,140,169.3,7
